"year","no_cnip","total_persons","fips_county_code","fips_state_code","housing_units_total","no_vacant","no_poverty","no_white","no_black","no_native","no_asian","no_hispanic","no_unemployed"
"2013",7347,12603,"130","02",6178,883,1363,9233,37,2001,953,601,639
"2013",7227,12643,"150","02",5305,804,1577,7660,90,2085,3356,1084,502
"2013",707,1305,"164","02",1562,1054,305,340,7,1018,14,24,77
"2013",43774,84188,"170","02",41106,9983,8897,77586,838,4446,1897,3696,4584
"2013",4362,8553,"180","02",3998,1201,2614,1664,91,6868,133,149,782
"2013",5927,8710,"185","02",2521,531,964,3101,40,4929,726,284,710
"2013",3374,6722,"188","02",2710,882,1662,902,46,6208,69,87,885
"2013",2280,3456,"195","02",2112,469,509,2733,60,507,156,204,137
"2013",2843,5234,"198","02",2989,749,850,2827,11,2271,82,154,363
"2013",4969,8185,"220","02",4095,541,879,5865,72,1605,605,475,265
"2013",754,965,"230","02",619,207,59,844,0,39,149,12,59
"2013",3291,6509,"240","02",3900,1574,924,5678,111,668,242,283,302
"2013",5114,9059,"261","02",6075,2651,787,7079,38,1569,516,382,411
"2013",2825,6688,"270","02",2191,447,2398,276,15,6946,62,17,793
"2013",1184,2277,"275","02",1486,337,223,1604,3,535,37,62,95
"2013",387,576,"282","02",436,182,36,215,39,251,15,11,24
"2013",2582,5139,"290","02",4020,1964,1359,1261,8,3971,62,80,566
"2013",23447,65205,"001","04",32541,13486,25573,17165,279,51994,1169,4352,4853
"2013",51062,120052,"003","04",59484,10310,20786,104532,4971,1577,13000,43170,4812
"2013",70788,124895,"005","04",63679,17481,29171,83712,1846,36510,7902,18415,6348
"2013",20925,48704,"007","04",32749,12148,11301,42459,306,7910,1485,9702,2547
"2013",13973,33551,"009","04",13126,2095,7402,28395,760,5216,2007,11472,1830
"2013",3661,7930,"011","04",4381,995,1366,7589,79,199,519,4120,432
"2013",7441,18809,"012","04",16062,5841,3921,14588,196,2637,2710,4941,806
"2013",1917425,3550958,"013","04",1648392,236665,639233,3137012,199310,72913,368132,1155592,182784
"2013",79774,186659,"015","04",111051,30821,37644,179492,2284,3403,8636,30474,11546
"2013",40239,97558,"017","04",57046,22703,31677,52711,476,45995,4354,11650,7826
"2013",465825,904545,"019","04",442960,58919,184668,782731,35791,31521,106001,345072,50858
"2013",151491,346492,"021","04",160903,37170,55245,298828,17847,19784,31823,109232,18327
"2013",19943,43009,"023","04",18051,2973,12285,35147,259,97,10726,38978,2609
"2013",92603,195379,"025","04",110838,19489,33026,194869,1293,4475,6679,29107,9980
"2013",79629,181242,"027","04",88505,18383,38603,152509,4330,2722,34576,119671,10802
"2013",9456,17448,"001","05",9415,1532,2924,13727,4735,24,232,539,775
"2013",9585,19876,"003","05",10093,1437,4044,15237,5513,52,543,1079,1070
"2013",16550,37987,"005","05",22516,4361,6278,39951,160,225,476,742,1724
"2013",109332,206167,"007","05",93873,11723,27327,198416,2840,3281,16699,35600,6156
"2013",16510,34037,"009","05",16827,1741,6056,35856,101,315,208,769,1539
"2013",4771,10365,"011","05",5845,1056,3522,6991,3207,124,1014,1553,397
"2013",2488,4909,"013","05",2894,848,777,3936,1344,0,15,45,167
