"coc.state","coc.number","ec.geocode","ec.name","d.grantee.type","d.esg.coterm","d.esg.bounce","d.grantee.metro","d.grantee.urban","d.grantee.nonec"
"al","al-500","010228","birmingham","metro",1,0,1,0,0
"al","al-500","019073","jefferson county","urban",1,0,0,1,0
"al","al-500","010216","bessemer","metro",0,1,1,0,0
"al","al-500","019117","shelby county","non-ec",0,1,0,0,1
"al","al-500","019115","st clair county","non-ec",0,1,0,0,1
"al","al-501","011542","mobile","metro",1,0,1,0,0
"al","al-501","019097","mobile county","urban",1,0,0,1,0
"al","al-501","019003","baldwin county","non-ec",0,1,0,0,1
"al","al-502","010810","florence","metro",0,1,1,0,0
"al","al-502","019033","colbert county","non-ec",0,1,0,0,1
"al","al-502","019059","franklin county","non-ec",0,1,0,0,1
"al","al-502","019077","lauderdale county","non-ec",0,1,0,0,1
"al","al-502","019079","lawrence county","non-ec",0,1,0,0,1
"al","al-502","019093","marion county","non-ec",0,1,0,0,1
"al","al-502","019133","winston county","non-ec",0,1,0,0,1
"al","al-503","010594","decatur","metro",0,1,1,0,0
"al","al-503","011218","huntsville","metro",0,1,1,0,0
"al","al-503","019083","limestone county","non-ec",0,1,0,0,1
"al","al-503","019089","madison county","non-ec",0,1,0,0,1
"al","al-503","019103","morgan county","non-ec",0,1,0,0,1
"al","al-504","011560","montgomery","metro",1,0,1,0,0
"al","al-504","019001","autauga county","non-ec",0,1,0,0,1
"al","al-504","019011","bullock county","non-ec",0,1,0,0,1
"al","al-504","019051","elmore county","non-ec",0,1,0,0,1
"al","al-504","019085","lowndes county","non-ec",0,1,0,0,1
"al","al-504","019101","montgomery county","non-ec",0,1,0,0,1
"al","al-505","010072","anniston","metro",0,1,1,0,0
"al","al-505","010882","gadsden","metro",0,1,1,0,0
"al","al-505","019015","calhoun county","non-ec",0,1,0,0,1
"al","al-505","019019","cherokee county","non-ec",0,1,0,0,1
"al","al-505","019049","dekalb county","non-ec",0,1,0,0,1
"al","al-505","019055","etowah county","non-ec",0,1,0,0,1
"al","al-506","012268","tuscaloosa","metro",0,1,1,0,0
"al","al-506","019125","tuscaloosa county","non-ec",0,1,0,0,1
"al","al-507","010144","auburn","metro",0,1,1,0,0
"al","al-507","010624","dothan","metro",0,1,1,0,0
"al","al-507","011740","opelika","metro",0,1,1,0,0
"al","al-507","019005","barbour county","non-ec",0,1,0,0,1
"al","al-507","019007","bibb county","non-ec",0,1,0,0,1
"al","al-507","019009","blount county","non-ec",0,1,0,0,1
"al","al-507","019013","butler county","non-ec",0,1,0,0,1
"al","al-507","019017","chambers county","non-ec",0,1,0,0,1
"al","al-507","019021","chilton county","non-ec",0,1,0,0,1
"al","al-507","019023","choctaw county","non-ec",0,1,0,0,1
"al","al-507","019025","clarke county","non-ec",0,1,0,0,1
"al","al-507","019027","clay county","non-ec",0,1,0,0,1
"al","al-507","019029","cleburne county","non-ec",0,1,0,0,1
"al","al-507","019031","coffee county","non-ec",0,1,0,0,1
"al","al-507","019035","conecuh county","non-ec",0,1,0,0,1
"al","al-507","019037","coosa county","non-ec",0,1,0,0,1
"al","al-507","019039","covington county","non-ec",0,1,0,0,1
"al","al-507","019041","crenshaw county","non-ec",0,1,0,0,1
"al","al-507","019043","cullman county","non-ec",0,1,0,0,1
"al","al-507","019045","dale county","non-ec",0,1,0,0,1
"al","al-507","019047","dallas county","non-ec",0,1,0,0,1
"al","al-507","019053","escambia county","non-ec",0,1,0,0,1
"al","al-507","019057","fayette county","non-ec",0,1,0,0,1
"al","al-507","019061","geneva county","non-ec",0,1,0,0,1
"al","al-507","019063","greene county","non-ec",0,1,0,0,1
"al","al-507","019065","hale county","non-ec",0,1,0,0,1
"al","al-507","019067","henry county","non-ec",0,1,0,0,1
"al","al-507","019069","houston county","non-ec",0,1,0,0,1
"al","al-507","019071","jackson county","non-ec",0,1,0,0,1
"al","al-507","019075","lamar county","non-ec",0,1,0,0,1
"al","al-507","019081","lee county","non-ec",0,1,0,0,1
"al","al-507","019087","macon county","non-ec",0,1,0,0,1
"al","al-507","019091","marengo county","non-ec",0,1,0,0,1
"al","al-507","019095","marshall county","non-ec",0,1,0,0,1
"al","al-507","019099","monroe county","non-ec",0,1,0,0,1
"al","al-507","019105","perry county","non-ec",0,1,0,0,1
"al","al-507","019107","pickens county","non-ec",0,1,0,0,1
"al","al-507","019109","pike county","non-ec",0,1,0,0,1
"al","al-507","019111","randolph county","non-ec",0,1,0,0,1
"al","al-507","019119","sumter county","non-ec",0,1,0,0,1
"al","al-507","019121","talladega county","non-ec",0,1,0,0,1
"al","al-507","019123","tallapoosa county","non-ec",0,1,0,0,1
"al","al-507","019127","walker county","non-ec",0,1,0,0,1
"al","al-507","019129","washington county","non-ec",0,1,0,0,1
"al","al-507","019131","wilcox county","non-ec",0,1,0,0,1
"ak","ak-500","020078","anchorage","metro",1,0,1,0,0
"ak","ak-501","029013","aleutians east borough","non-ec",0,1,0,0,1
"ak","ak-501","029016","aleutians west census area","non-ec",0,1,0,0,1
"ak","ak-501","029050","bethel census area","non-ec",0,1,0,0,1
"ak","ak-501","029060","bristol bay borough","non-ec",0,1,0,0,1
"ak","ak-501","029068","denali borough","non-ec",0,1,0,0,1
"ak","ak-501","029070","dillingham census area","non-ec",0,1,0,0,1
"ak","ak-501","029090","fairbanks north star borough","non-ec",0,1,0,0,1
"ak","ak-501","029100","haines borough","non-ec",0,1,0,0,1
"ak","ak-501","029105","hoonah-angoon census area","non-ec",0,1,0,0,1
"ak","ak-501","029110","juneau city and borough","non-ec",0,1,0,0,1
"ak","ak-501","029122","kenai peninsula borough","non-ec",0,1,0,0,1
"ak","ak-501","029130","ketchikan gateway borough","non-ec",0,1,0,0,1
"ak","ak-501","029150","kodiak island borough","non-ec",0,1,0,0,1
"ak","ak-501","029164","lake and peninsula borough","non-ec",0,1,0,0,1
"ak","ak-501","029170","matanuska-susitna borough","non-ec",0,1,0,0,1
"ak","ak-501","029180","nome census area","non-ec",0,1,0,0,1
"ak","ak-501","029185","north slope borough","non-ec",0,1,0,0,1
"ak","ak-501","029188","northwest arctic borough","non-ec",0,1,0,0,1
"ak","ak-501","029195","petersburg borough","non-ec",0,1,0,0,1
"ak","ak-501","029198","prince of wales-hyder census area","non-ec",0,1,0,0,1
"ak","ak-501","029220","sitka city and borough","non-ec",0,1,0,0,1
"ak","ak-501","029230","skagway municipality","non-ec",0,1,0,0,1
"ak","ak-501","029240","southeast fairbanks census area","non-ec",0,1,0,0,1
"ak","ak-501","029261","valdez-cordova census area","non-ec",0,1,0,0,1
"ak","ak-501","029275","wrangell city and borough","non-ec",0,1,0,0,1
"ak","ak-501","029282","yakutat city and borough","non-ec",0,1,0,0,1
"ak","ak-501","029290","yukon-koyukuk census area","non-ec",0,1,0,0,1
"as","as-500","600001","american samoa","metro",1,0,1,0,0
"az","az-500","040054","casa grande","metro",0,1,1,0,0
"az","az-500","040114","douglas city","metro",0,1,1,0,0
"az","az-500","040144","flagstaff","metro",0,1,1,0,0
"az","az-500","040266","maricopa","metro",0,1,1,0,0
"az","az-500","040348","prescott","metro",0,1,1,0,0
"az","az-500","040408","sierra vista city","metro",0,1,1,0,0
"az","az-500","040558","yuma","metro",0,1,1,0,0
"az","az-500","049021","pinal county","urban",0,1,0,1,0
"az","az-500","049001","apache county","non-ec",0,1,0,0,1
"az","az-500","049003","cochise county","non-ec",0,1,0,0,1
"az","az-500","049005","coconino county","non-ec",0,1,0,0,1
"az","az-500","049007","gila county","non-ec",0,1,0,0,1
"az","az-500","049009","graham county","non-ec",0,1,0,0,1
"az","az-500","049011","greenlee county","non-ec",0,1,0,0,1
"az","az-500","049012","la paz county","non-ec",0,1,0,0,1
"az","az-500","049015","mohave county","non-ec",0,1,0,0,1
"az","az-500","049017","navajo county","non-ec",0,1,0,0,1
"az","az-500","049023","santa cruz county","non-ec",0,1,0,0,1
"az","az-500","049025","yavapai county","non-ec",0,1,0,0,1
"az","az-500","049027","yuma county","non-ec",0,1,0,0,1
"az","az-501","040492","tucson","metro",1,0,1,0,0
"az","az-501","049019","pima county","urban",1,0,0,1,0
"az","az-502","040186","glendale","metro",1,0,1,0,0
"az","az-502","040270","mesa","metro",1,0,1,0,0
"az","az-502","040330","phoenix","metro",1,0,1,0,0
"az","az-502","040468","tempe","metro",1,0,1,0,0
"az","az-502","049013","maricopa county","urban",1,0,0,1,0
"az","az-502","040018","avondale city","metro",0,1,1,0,0
"az","az-502","040072","chandler","metro",0,1,1,0,0
"az","az-502","040180","gilbert","metro",0,1,1,0,0
"az","az-502","040198","goodyear","metro",0,1,1,0,0
"az","az-502","040324","peoria city","metro",0,1,1,0,0
"az","az-502","040384","scottsdale","metro",0,1,1,0,0
"az","az-502","040456","surprise city","metro",0,1,1,0,0
"ar","ar-500","051560","little rock","metro",1,0,1,0,0
"ar","ar-500","051374","jacksonville","metro",0,1,1,0,0
"ar","ar-500","051938","north little rock","metro",0,1,1,0,0
"ar","ar-500","059085","lonoke county","non-ec",0,1,0,0,1
"ar","ar-500","059117","prairie county","non-ec",0,1,0,0,1
"ar","ar-500","059119","pulaski county","non-ec",0,1,0,0,1
"ar","ar-500","059125","saline county","non-ec",0,1,0,0,1
"ar","ar-501","050894","fayetteville","metro",0,1,1,0,0
"ar","ar-501","052304","rogers","metro",0,1,1,0,0
"ar","ar-501","052466","springdale","metro",0,1,1,0,0
"ar","ar-501","059007","benton county","non-ec",0,1,0,0,1
"ar","ar-501","059015","carroll county","non-ec",0,1,0,0,1
"ar","ar-501","059087","madison county","non-ec",0,1,0,0,1
"ar","ar-501","059143","washington county","non-ec",0,1,0,0,1
"ar","ar-503","050600","conway","metro",0,1,1,0,0
"ar","ar-503","051302","hot springs","metro",0,1,1,0,0
"ar","ar-503","051410","jonesboro","metro",0,1,1,0,0
"ar","ar-503","052556","texarkana","metro",0,1,1,0,0
"ar","ar-503","052754","west memphis","metro",0,1,1,0,0
"ar","ar-503","059005","baxter county","non-ec",0,1,0,0,1
"ar","ar-503","059009","boone county","non-ec",0,1,0,0,1
"ar","ar-503","059019","clark county","non-ec",0,1,0,0,1
"ar","ar-503","059021","clay county","non-ec",0,1,0,0,1
"ar","ar-503","059023","cleburne county","non-ec",0,1,0,0,1
"ar","ar-503","059029","conway county","non-ec",0,1,0,0,1
"ar","ar-503","059031","craighead county","non-ec",0,1,0,0,1
"ar","ar-503","059035","crittenden county","non-ec",0,1,0,0,1
"ar","ar-503","059037","cross county","non-ec",0,1,0,0,1
"ar","ar-503","059045","faulkner county","non-ec",0,1,0,0,1
"ar","ar-503","059049","fulton county","non-ec",0,1,0,0,1
"ar","ar-503","059051","garland county","non-ec",0,1,0,0,1
"ar","ar-503","059055","greene county","non-ec",0,1,0,0,1
"ar","ar-503","059057","hempstead county","non-ec",0,1,0,0,1
"ar","ar-503","059059","hot spring county","non-ec",0,1,0,0,1
"ar","ar-503","059061","howard county","non-ec",0,1,0,0,1
"ar","ar-503","059063","independence county","non-ec",0,1,0,0,1
"ar","ar-503","059065","izard county","non-ec",0,1,0,0,1
"ar","ar-503","059067","jackson county","non-ec",0,1,0,0,1
"ar","ar-503","059071","johnson county","non-ec",0,1,0,0,1
"ar","ar-503","059073","lafayette county","non-ec",0,1,0,0,1
"ar","ar-503","059075","lawrence county","non-ec",0,1,0,0,1
"ar","ar-503","059077","lee county","non-ec",0,1,0,0,1
"ar","ar-503","059081","little river county","non-ec",0,1,0,0,1
"ar","ar-503","059089","marion county","non-ec",0,1,0,0,1
"ar","ar-503","059091","miller county","non-ec",0,1,0,0,1
"ar","ar-503","059093","mississippi county","non-ec",0,1,0,0,1
"ar","ar-503","059095","monroe county","non-ec",0,1,0,0,1
"ar","ar-503","059097","montgomery county","non-ec",0,1,0,0,1
"ar","ar-503","059099","nevada county","non-ec",0,1,0,0,1
"ar","ar-503","059101","newton county","non-ec",0,1,0,0,1
"ar","ar-503","059105","perry county","non-ec",0,1,0,0,1
"ar","ar-503","059107","phillips county","non-ec",0,1,0,0,1
"ar","ar-503","059109","pike county","non-ec",0,1,0,0,1
"ar","ar-503","059111","poinsett county","non-ec",0,1,0,0,1
"ar","ar-503","059115","pope county","non-ec",0,1,0,0,1
"ar","ar-503","059121","randolph county","non-ec",0,1,0,0,1
"ar","ar-503","059129","searcy county","non-ec",0,1,0,0,1
"ar","ar-503","059133","sevier county","non-ec",0,1,0,0,1
"ar","ar-503","059135","sharp county","non-ec",0,1,0,0,1
"ar","ar-503","059123","st francis county","non-ec",0,1,0,0,1
"ar","ar-503","059137","stone county","non-ec",0,1,0,0,1
"ar","ar-503","059141","van buren county","non-ec",0,1,0,0,1
"ar","ar-503","059145","white county","non-ec",0,1,0,0,1
"ar","ar-503","059147","woodruff county","non-ec",0,1,0,0,1
"ar","ar-503","059149","yell county","non-ec",0,1,0,0,1
"ar","ar-505","052130","pine bluff","metro",0,1,1,0,0
"ar","ar-505","059001","arkansas county","non-ec",0,1,0,0,1
"ar","ar-505","059003","ashley county","non-ec",0,1,0,0,1
"ar","ar-505","059011","bradley county","non-ec",0,1,0,0,1
"ar","ar-505","059013","calhoun county","non-ec",0,1,0,0,1
"ar","ar-505","059017","chicot county","non-ec",0,1,0,0,1
"ar","ar-505","059025","cleveland county","non-ec",0,1,0,0,1
"ar","ar-505","059027","columbia county","non-ec",0,1,0,0,1
"ar","ar-505","059039","dallas county","non-ec",0,1,0,0,1
"ar","ar-505","059041","desha county","non-ec",0,1,0,0,1
"ar","ar-505","059043","drew county","non-ec",0,1,0,0,1
"ar","ar-505","059053","grant county","non-ec",0,1,0,0,1
"ar","ar-505","059069","jefferson county","non-ec",0,1,0,0,1
"ar","ar-505","059079","lincoln county","non-ec",0,1,0,0,1
"ar","ar-505","059103","ouachita county","non-ec",0,1,0,0,1
"ar","ar-505","059139","union county","non-ec",0,1,0,0,1
"ar","ar-508","050930","fort smith","metro",0,1,1,0,0
"ar","ar-508","059033","crawford county","non-ec",0,1,0,0,1
"ar","ar-508","059047","franklin county","non-ec",0,1,0,0,1
"ar","ar-508","059083","logan county","non-ec",0,1,0,0,1
"ar","ar-508","059113","polk county","non-ec",0,1,0,0,1
"ar","ar-508","059127","scott county","non-ec",0,1,0,0,1
"ar","ar-508","059131","sebastian county","non-ec",0,1,0,0,1
"ca","ca-500","063258","san jose","metro",1,0,1,0,0
"ca","ca-500","069085","santa clara county","urban",1,0,0,1,0
"ca","ca-500","060906","cupertino city","metro",0,1,1,0,0
"ca","ca-500","061452","gilroy city","metro",0,1,1,0,0
"ca","ca-500","062274","milpitas city","metro",0,1,1,0,0
"ca","ca-500","062382","mountain view","metro",0,1,1,0,0
"ca","ca-500","062682","palo alto","metro",0,1,1,0,0
"ca","ca-500","063354","santa clara","metro",0,1,1,0,0
"ca","ca-500","063660","sunnyvale","metro",0,1,1,0,0
"ca","ca-501","063228","san francisco","metro",1,0,1,0,0
"ca","ca-502","060324","berkeley","metro",1,0,1,0,0
"ca","ca-502","062508","oakland","metro",1,0,1,0,0
"ca","ca-502","061404","fremont","metro",1,0,1,0,0
"ca","ca-502","069001","alameda county","urban",1,0,0,1,0
"ca","ca-502","060012","alameda","metro",0,1,1,0,0
"ca","ca-502","061602","hayward","metro",0,1,1,0,0
"ca","ca-502","062034","livermore","metro",0,1,1,0,0
"ca","ca-502","062826","pleasanton city","metro",0,1,1,0,0
"ca","ca-502","063276","san leandro","metro",0,1,1,0,0
"ca","ca-502","063846","union city","metro",0,1,1,0,0
"ca","ca-503","063144","sacramento","metro",1,0,1,0,0
"ca","ca-503","069067","sacramento county","urban",1,0,0,1,0
"ca","ca-503","060726","citrus heights","metro",0,1,1,0,0
"ca","ca-503","061146","elk grove","metro",0,1,1,0,0
"ca","ca-503","062928","rancho cordova city","metro",0,1,1,0,0
"ca","ca-504","069097","sonoma county","urban",1,0,0,1,0
"ca","ca-504","062760","petaluma","metro",0,1,1,0,0
"ca","ca-504","063396","santa rosa","metro",0,1,1,0,0
"ca","ca-505","069013","contra costa county","urban",1,0,0,1,0
"ca","ca-505","060102","antioch","metro",0,1,1,0,0
"ca","ca-505","060810","concord","metro",0,1,1,0,0
"ca","ca-505","062790","pittsburg","metro",0,1,1,0,0
"ca","ca-505","063942","walnut creek","metro",0,1,1,0,0
"ca","ca-506","063162","salinas","metro",1,0,1,0,0
"ca","ca-506","062334","monterey","metro",0,1,1,0,0
"ca","ca-506","063444","seaside","metro",0,1,1,0,0
"ca","ca-506","069053","monterey county","urban",0,1,0,1,0
"ca","ca-506","069069","san benito county","non-ec",0,1,0,0,1
"ca","ca-507","069041","marin county","urban",0,1,0,1,0
"ca","ca-508","063360","santa cruz","metro",0,1,1,0,0
"ca","ca-508","063966","watsonville","metro",0,1,1,0,0
"ca","ca-508","069087","santa cruz county","non-ec",0,1,0,0,1
"ca","ca-509","069045","mendocino county","non-ec",0,1,0,0,1
"ca","ca-510","062292","modesto","metro",1,0,1,0,0
"ca","ca-510","069099","stanislaus county","urban",1,0,0,1,0
"ca","ca-510","063798","turlock","metro",0,1,1,0,0
"ca","ca-511","063624","stockton","metro",1,0,1,0,0
"ca","ca-511","069077","san joaquin county","urban",1,0,0,1,0
"ca","ca-511","062046","lodi","metro",0,1,1,0,0
"ca","ca-512","069081","san mateo county","urban",1,0,0,1,0
"ca","ca-512","060930","daly city","metro",0,1,1,0,0
"ca","ca-512","062976","redwood city","metro",0,1,1,0,0
"ca","ca-512","063312","san mateo","metro",0,1,1,0,0
"ca","ca-512","063564","south san francisco","metro",0,1,1,0,0
"ca","ca-513","061566","hanford","metro",0,1,1,0,0
"ca","ca-513","062862","porterville","metro",0,1,1,0,0
"ca","ca-513","063768","tulare","metro",0,1,1,0,0
"ca","ca-513","063918","visalia","metro",0,1,1,0,0
"ca","ca-513","069031","kings county","non-ec",0,1,0,0,1
"ca","ca-513","069107","tulare county","non-ec",0,1,0,0,1
"ca","ca-514","061410","fresno","metro",1,0,1,0,0
"ca","ca-514","069019","fresno county","urban",1,0,0,1,0
"ca","ca-514","060756","clovis city","metro",0,1,1,0,0
"ca","ca-514","062166","madera","metro",0,1,1,0,0
"ca","ca-514","069039","madera county","non-ec",0,1,0,0,1
"ca","ca-515","063054","rocklin city","metro",0,1,1,0,0
"ca","ca-515","063108","roseville","metro",0,1,1,0,0
"ca","ca-515","069061","placer county","non-ec",0,1,0,0,1
"ca","ca-516","062958","redding","metro",0,1,1,0,0
"ca","ca-516","069015","del norte county","non-ec",0,1,0,0,1
"ca","ca-516","069035","lassen county","non-ec",0,1,0,0,1
"ca","ca-516","069049","modoc county","non-ec",0,1,0,0,1
"ca","ca-516","069063","plumas county","non-ec",0,1,0,0,1
"ca","ca-516","069089","shasta county","non-ec",0,1,0,0,1
"ca","ca-516","069091","sierra county","non-ec",0,1,0,0,1
"ca","ca-516","069093","siskiyou county","non-ec",0,1,0,0,1
"ca","ca-517","062406","napa city","metro",0,1,1,0,0
"ca","ca-517","069055","napa county","non-ec",0,1,0,0,1
"ca","ca-518","061266","fairfield","metro",0,1,1,0,0
"ca","ca-518","063858","vacaville","metro",0,1,1,0,0
"ca","ca-518","063876","vallejo","metro",0,1,1,0,0
"ca","ca-518","069095","solano county","non-ec",0,1,0,0,1
"ca","ca-519","060684","chico","metro",0,1,1,0,0
"ca","ca-519","062700","paradise","metro",0,1,1,0,0
"ca","ca-519","069007","butte county","non-ec",0,1,0,0,1
"ca","ca-520","062250","merced","metro",0,1,1,0,0
"ca","ca-520","069047","merced county","non-ec",0,1,0,0,1
"ca","ca-521","060942","davis","metro",0,1,1,0,0
"ca","ca-521","064050","west sacramento","metro",0,1,1,0,0
"ca","ca-521","064134","woodland","metro",0,1,1,0,0
"ca","ca-521","069113","yolo county","non-ec",0,1,0,0,1
"ca","ca-522","069023","humboldt county","non-ec",0,1,0,0,1
"ca","ca-523","069011","colusa county","non-ec",0,1,0,0,1
"ca","ca-523","069021","glenn county","non-ec",0,1,0,0,1
"ca","ca-523","069105","trinity county","non-ec",0,1,0,0,1
"ca","ca-524","064176","yuba city","metro",0,1,1,0,0
"ca","ca-524","069101","sutter county","non-ec",0,1,0,0,1
"ca","ca-524","069115","yuba county","non-ec",0,1,0,0,1
"ca","ca-525","069017","el dorado county","non-ec",0,1,0,0,1
"ca","ca-526","069005","amador county","non-ec",0,1,0,0,1
"ca","ca-526","069009","calaveras county","non-ec",0,1,0,0,1
"ca","ca-526","069043","mariposa county","non-ec",0,1,0,0,1
"ca","ca-526","069109","tuolumne county","non-ec",0,1,0,0,1
"ca","ca-527","069103","tehama county","non-ec",0,1,0,0,1
"ca","ca-529","069033","lake county","non-ec",0,1,0,0,1
"ca","ca-530","069003","alpine county","non-ec",0,1,0,0,1
"ca","ca-530","069027","inyo county","non-ec",0,1,0,0,1
"ca","ca-530","069051","mono county","non-ec",0,1,0,0,1
"ca","ca-531","069057","nevada county","non-ec",0,1,0,0,1
"ca","ca-600","062118","los angeles","metro",1,0,1,0,0
"ca","ca-600","060804","compton","metro",1,0,1,0,0
"ca","ca-600","061152","el monte","metro",1,0,1,0,0
"ca","ca-600","061698","huntington park","metro",1,0,1,0,0
"ca","ca-600","061740","inglewood","metro",1,0,1,0,0
"ca","ca-600","062850","pomona","metro",1,0,1,0,0
"ca","ca-600","063528","south gate","metro",1,0,1,0,0
"ca","ca-600","069037","los angeles county","urban",1,0,0,1,0
"ca","ca-600","060030","alhambra","metro",0,1,1,0,0
"ca","ca-600","060234","baldwin park","metro",0,1,1,0,0
"ca","ca-600","060288","bellflower","metro",0,1,1,0,0
"ca","ca-600","060456","burbank","urban",0,1,0,1,0
"ca","ca-600","060594","carson","urban",0,1,0,1,0
"ca","ca-600","060654","cerritos","urban",0,1,0,1,0
"ca","ca-600","061032","downey","urban",0,1,0,1,0
"ca","ca-600","061428","gardena","urban",0,1,0,1,0
"ca","ca-600","061470","glendora city","urban",0,1,0,1,0
"ca","ca-600","061596","hawthorne","urban",0,1,0,1,0
"ca","ca-600","061890","lakewood","urban",0,1,0,1,0
"ca","ca-600","061914","lancaster","urban",0,1,0,1,0
"ca","ca-600","062148","lynwood","urban",0,1,0,1,0
"ca","ca-600","062328","montebello","urban",0,1,0,1,0
"ca","ca-600","062340","monterey park","urban",0,1,0,1,0
"ca","ca-600","062490","norwalk","urban",0,1,0,1,0
"ca","ca-600","062658","palmdale","urban",0,1,0,1,0
"ca","ca-600","062706","paramount city","urban",0,1,0,1,0
"ca","ca-600","062766","pico rivera","urban",0,1,0,1,0
"ca","ca-600","062970","redondo beach","urban",0,1,0,1,0
"ca","ca-600","063102","rosemead","urban",0,1,0,1,0
"ca","ca-600","063356","santa clarita","urban",0,1,0,1,0
"ca","ca-600","063384","santa monica","urban",0,1,0,1,0
"ca","ca-600","063744","torrance","urban",0,1,0,1,0
"ca","ca-600","064002","west covina","urban",0,1,0,1,0
"ca","ca-600","064074","whittier","urban",0,1,0,1,0
"ca","ca-601","063210","san diego","metro",1,0,1,0,0
"ca","ca-601","060720","chula vista","metro",1,0,1,0,0
"ca","ca-601","061230","escondido","metro",1,0,1,0,0
"ca","ca-601","062532","oceanside","metro",1,0,1,0,0
"ca","ca-601","069073","san diego county","urban",1,0,0,1,0
"ca","ca-601","060564","carlsbad","metro",0,1,1,0,0
"ca","ca-601","061116","el cajon","metro",0,1,1,0,0
"ca","ca-601","061212","encinitas","metro",0,1,1,0,0
"ca","ca-601","061896","la mesa","metro",0,1,1,0,0
"ca","ca-601","062412","national city","metro",0,1,1,0,0
"ca","ca-601","063294","san marcos city","metro",0,1,1,0,0
"ca","ca-601","063408","santee","metro",0,1,1,0,0
"ca","ca-601","063924","vista","metro",0,1,1,0,0
"ca","ca-602","060078","anaheim","metro",1,0,1,0,0
"ca","ca-602","061750","irvine","metro",1,0,1,0,0
"ca","ca-602","063342","santa ana","metro",1,0,1,0,0
"ca","ca-602","061440","garden grove","metro",1,0,1,0,0
"ca","ca-602","069059","orange county","urban",1,0,0,1,0
"ca","ca-602","060032","aliso viejo","metro",0,1,1,0,0
"ca","ca-602","060450","buena park","metro",0,1,1,0,0
"ca","ca-602","060846","costa mesa","metro",0,1,1,0,0
"ca","ca-602","061380","fountain valley","metro",0,1,1,0,0
"ca","ca-602","061416","fullerton","metro",0,1,1,0,0
"ca","ca-602","061692","huntington beach","metro",0,1,1,0,0
"ca","ca-602","061860","la habra","metro",0,1,1,0,0
"ca","ca-602","061854","laguna niguel","metro",0,1,1,0,0
"ca","ca-602","061869","lake forest","metro",0,1,1,0,0
"ca","ca-602","062286","mission viejo","metro",0,1,1,0,0
"ca","ca-602","062454","newport beach","metro",0,1,1,0,0
"ca","ca-602","062568","orange","metro",0,1,1,0,0
"ca","ca-602","062949","rancho santa margarita","metro",0,1,1,0,0
"ca","ca-602","063198","san clemente","metro",0,1,1,0,0
"ca","ca-602","063804","tustin","metro",0,1,1,0,0
"ca","ca-602","064014","westminster","metro",0,1,1,0,0
"ca","ca-603","069083","santa barbara county","urban",1,0,0,1,0
"ca","ca-603","061476","goleta","metro",0,1,1,0,0
"ca","ca-603","062064","lompoc","metro",0,1,1,0,0
"ca","ca-603","063348","santa barbara","metro",0,1,1,0,0
"ca","ca-603","063372","santa maria","metro",0,1,1,0,0
"ca","ca-604","060228","bakersfield","metro",1,0,1,0,0
"ca","ca-604","069029","kern county","urban",1,0,0,1,0
"ca","ca-604","060960","delano city","metro",0,1,1,0,0
"ca","ca-606","062088","long beach","metro",1,0,1,0,0
"ca","ca-607","062724","pasadena","metro",1,0,1,0,0
"ca","ca-608","063048","riverside","metro",1,0,1,0,0
"ca","ca-608","062367","moreno valley","metro",1,0,1,0,0
"ca","ca-608","069065","riverside county","urban",1,0,0,1,0
"ca","ca-608","060624","cathedral city","metro",0,1,1,0,0
"ca","ca-608","060828","corona","metro",0,1,1,0,0
"ca","ca-608","061614","hemet","metro",0,1,1,0,0
"ca","ca-608","061728","indio city","metro",0,1,1,0,0
"ca","ca-608","061783","jurupa valley","metro",0,1,1,0,0
"ca","ca-608","062240","menifee","metro",0,1,1,0,0
"ca","ca-608","062399","murrieta","metro",0,1,1,0,0
"ca","ca-608","062670","palm desert","metro",0,1,1,0,0
"ca","ca-608","062676","palm springs","metro",0,1,1,0,0
"ca","ca-608","062754","perris city","metro",0,1,1,0,0
"ca","ca-608","063712","temecula","metro",0,1,1,0,0
"ca","ca-609","062556","ontario","metro",1,0,1,0,0
"ca","ca-609","063180","san bernardino","metro",1,0,1,0,0
"ca","ca-609","061332","fontana","metro",1,0,1,0,0
"ca","ca-609","069071","san bernardino county","urban",1,0,0,1,0
"ca","ca-609","060108","apple valley","metro",0,1,1,0,0
"ca","ca-609","060708","chino","metro",0,1,1,0,0
"ca","ca-609","060709","chino hills","metro",0,1,1,0,0
"ca","ca-609","061638","hesperia","metro",0,1,1,0,0
"ca","ca-609","062930","rancho cucamonga","metro",0,1,1,0,0
"ca","ca-609","062988","rialto","metro",0,1,1,0,0
"ca","ca-609","063852","upland","metro",0,1,1,0,0
"ca","ca-609","063900","victorville","metro",0,1,1,0,0
"ca","ca-611","062622","oxnard","metro",1,0,1,0,0
"ca","ca-611","069111","ventura county","urban",1,0,0,1,0
"ca","ca-611","060516","camarillo","metro",0,1,1,0,0
"ca","ca-611","063888","san buenaventura","metro",0,1,1,0,0
"ca","ca-611","063480","simi valley","metro",0,1,1,0,0
"ca","ca-611","063732","thousand oaks","metro",0,1,1,0,0
"ca","ca-612","061464","glendale","metro",1,0,1,0,0
"ca","ca-613","061122","el centro","metro",0,1,1,0,0
"ca","ca-613","069025","imperial county","non-ec",0,1,0,0,1
"ca","ca-614","069079","san luis obispo county","urban",1,0,0,1,0
"co","co-500","080672","grand junction","metro",0,1,1,0,0
"co","co-500","081278","pueblo","metro",0,1,1,0,0
