"coc.number","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","coc.state","sample","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total"
"ca-523",2016,54,0,0,18,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-523",2017,88,0,0,16,0,3,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-523",2018,87,77,0,11,0,46,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-524",2014,396,10,0,59,50,117,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-524",2015,406,10,0,59,50,117,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-524",2016,242,0,0,42,34,46,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-524",2017,570,0,0,245,30,64,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-524",2018,503,0,0,145,30,172,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-525",2014,184,0,0,44,45,8,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-525",2015,150,0,0,54,17,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-525",2016,354,0,0,55,50,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-525",2017,322,0,0,59,27,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-525",2018,312,0,0,69,65,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-526",2014,186,40,3,95,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-526",2015,329,5,0,107,18,4,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-526",2016,385,0,0,107,24,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-526",2017,272,1,0,103,0,28,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-526",2018,334,5,0,108,0,37,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-600",2014,28516,2011,1340,5728,0,1339,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-600",2015,32400,2854,1363,5810,31,2755,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-600",2016,32708,3647,2693,5317,76,1934,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-600",2017,36557,3242,2224,5703,35,4195,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-600",2018,39879,3411,380,7548,0,3566,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-601",2014,7932,688,116,1049,84,145,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-601",2015,7700,1404,4,1421,85,97,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-601",2016,8154,1143,8,1455,86,25,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-601",2017,7416,2120,556,1659,85,15,"ca","hic extra",NA,NA,NA,NA,NA,NA
