"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"ar-501",2018,672,0,0,220,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ar-503m",2014,668,0,0,548,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
"ar-503m",2015,670,0,0,495,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
"ar-503m",2016,778,0,0,540,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
"ar-503m",2017,723,0,0,471,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
"ar-503m",2018,576,0,0,441,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
"ar-505",2014,222,0,8,190,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ar-505",2015,230,0,0,190,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ar-505",2016,239,0,0,199,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ar-505",2017,239,0,0,199,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ar-505",2018,215,0,0,187,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"az-500",2014,2567,0,0,1209,12,55,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"az-500",2015,2601,0,0,885,30,11,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"az-500",2016,2894,0,0,885,21,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"az-500",2017,2536,0,0,982,15,22,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"az-500",2018,2945,0,0,890,36,18,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"az-501",2014,3909,192,0,701,60,73,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"az-501",2015,4010,161,347,799,0,131,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"az-501",2016,4343,8,0,858,0,123,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"az-501",2017,3651,165,225,832,0,128,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"az-501",2018,3898,19,0,818,0,117,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"az-502",2014,11020,470,100,2529,442,63,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"az-502",2015,10346,222,548,2016,74,35,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"az-502",2016,10248,506,140,2283,77,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"az-502",2017,10882,251,409,2159,88,18,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"az-502",2018,12290,586,83,2275,102,17,0,0,0,0,0,0,0,1,1,0,0,0,1,0
