"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"al-507",2018,0,0,0,0,0,0,188,273,0,0,221,682,1,0,1,0,1,0,0,0
"al-507",2019,0,0,0,0,0,0,122,48,0,0,77,247,1,0,1,0,1,0,0,0
"ar-500",2013,0,0,0,0,0,0,428,383,59,0,761,1631,0,0,1,0,0,1,0,0
"ar-500",2014,0,0,0,0,0,0,404,387,83,0,765,1661,0,0,1,0,0,1,0,0
"ar-500",2015,0,0,0,0,0,0,464,341,50,0,555,1738,0,0,1,0,0,1,0,0
"ar-500",2016,0,0,0,0,0,0,439,268,107,0,930,1780,0,0,1,0,0,1,0,0
"ar-500",2017,0,0,0,0,0,0,471,203,68,0,931,1696,0,0,1,0,0,1,0,0
"ar-500",2018,0,0,0,0,0,0,512,269,122,0,893,1804,0,0,1,0,0,1,0,0
"ar-500",2019,0,0,0,0,0,0,476,238,162,0,964,1840,0,0,1,0,0,1,0,0
"ar-501",2013,0,0,0,0,0,0,275,158,0,0,130,563,0,0,1,0,0,1,0,0
"ar-501",2014,0,0,0,0,0,0,230,171,74,0,98,573,0,0,1,0,0,1,0,0
"ar-501",2015,0,0,0,0,0,0,269,213,74,0,98,654,0,0,1,0,0,1,0,0
"ar-501",2016,0,0,0,0,0,0,243,220,39,0,164,691,0,0,1,0,0,1,0,0
"ar-501",2017,0,0,0,0,0,0,186,185,158,0,134,678,0,0,1,0,0,1,0,0
"ar-501",2018,0,0,0,0,0,0,228,226,0,0,218,672,0,0,1,0,0,1,0,0
"ar-501",2019,0,0,0,0,0,0,201,50,44,0,196,491,0,0,1,0,0,1,0,0
"ar-503m",2013,0,0,0,0,0,0,812,282,0,0,99,1193,3,0,3,0,3,0,0,3
"ar-503m",2014,0,0,0,0,0,0,545,76,0,0,44,665,2,0,2,0,2,0,0,2
"ar-503m",2015,0,0,0,0,0,0,651,160,0,0,39,850,3,0,3,0,3,0,0,3
"ar-503m",2016,0,0,0,0,0,0,696,127,108,0,39,970,3,0,3,0,3,0,0,3
"ar-503m",2017,0,0,0,0,0,0,503,113,117,0,42,775,2,0,2,0,2,0,0,2
"ar-503m",2018,0,0,0,0,0,0,552,93,52,0,21,718,2,0,2,0,2,0,0,2
"ar-503m",2019,0,0,0,0,0,0,434,81,94,0,15,624,1,0,1,0,1,0,0,1
"ar-505",2013,0,0,0,0,0,0,140,24,0,0,16,180,0,0,1,0,1,0,0,0
"ar-505",2014,0,0,0,0,0,0,182,24,0,0,16,222,0,0,1,0,1,0,0,0
"ar-505",2015,0,0,0,0,0,0,190,24,0,0,16,230,0,0,1,0,1,0,0,0
"ar-505",2016,0,0,0,0,0,0,199,24,0,0,16,239,0,0,1,0,1,0,0,0
"ar-505",2017,0,0,0,0,0,0,199,24,0,0,16,239,0,0,1,0,1,0,0,0
"ar-505",2018,0,0,0,0,0,0,187,12,0,0,16,215,0,0,1,0,1,0,0,0
"ar-505",2019,0,0,0,0,0,0,187,12,0,0,16,215,0,0,1,0,1,0,0,0
"az-500",2013,0,0,0,0,0,0,929,566,3,0,626,2124,1,0,1,0,1,0,0,0
"az-500",2014,0,0,0,0,0,0,1055,387,34,0,823,2346,1,0,1,0,1,0,0,0
"az-500",2015,0,0,0,0,0,0,926,256,380,0,409,2601,1,0,1,0,1,0,0,0
"az-500",2016,0,0,0,0,0,0,780,278,486,0,1106,2764,1,0,1,0,1,0,0,0
"az-500",2017,0,0,0,0,0,0,861,191,147,0,1179,2378,1,0,1,0,1,0,0,0
"az-500",2018,0,0,0,0,0,0,944,305,562,0,1134,2945,1,0,1,0,1,0,0,0
"az-500",2019,0,0,0,0,0,0,902,261,628,0,1187,2978,1,0,1,0,1,0,0,0
"az-501",2013,0,0,0,0,0,0,665,1108,80,15,1442,3310,0,1,1,0,0,0,1,0
"az-501",2014,0,0,0,0,0,0,704,1128,407,15,1080,3971,0,1,1,0,0,0,1,0
"az-501",2015,0,0,0,0,0,0,676,1258,291,15,1753,3993,0,1,1,0,0,0,1,0
"az-501",2016,0,0,0,0,0,0,782,1032,525,15,1798,4152,0,1,1,0,0,0,1,0
"az-501",2017,0,0,0,0,0,0,768,516,301,15,2024,3624,0,1,1,0,0,0,1,0
"az-501",2018,0,0,0,0,0,0,760,421,693,15,1853,3742,0,1,1,0,0,0,1,0
"az-501",2019,0,0,0,0,0,0,767,448,547,15,1725,3502,0,1,1,0,0,0,1,0
"az-502",2013,0,0,0,0,0,0,2579,2896,116,25,4717,10333,0,1,1,0,0,0,1,0
"az-502",2014,0,0,0,0,0,0,2722,2837,0,25,5455,11178,0,1,1,0,0,0,1,0
"az-502",2015,0,0,0,0,0,0,2090,2227,585,25,4627,10533,0,1,1,0,0,0,1,0
"az-502",2016,0,0,0,0,0,0,2360,1670,891,25,4600,10752,0,1,1,0,0,0,1,0
"az-502",2017,0,0,0,0,0,0,2237,1271,1088,21,5422,11115,0,1,1,0,0,0,1,0
"az-502",2018,0,0,0,0,0,0,2354,1862,1267,22,6268,12859,0,1,1,0,0,0,1,0
"az-502",2019,0,0,0,0,0,0,2118,2004,1337,53,6326,12153,0,1,1,0,0,0,1,0
"ca-500",2013,0,0,0,0,0,0,587,1214,0,10,3338,5149,0,1,1,0,0,0,1,0
"ca-500",2014,0,0,0,0,0,0,593,1141,194,10,3683,5621,0,1,1,0,0,0,1,0
"ca-500",2015,0,0,0,0,0,0,622,1374,6,10,2794,4806,0,1,1,0,0,0,1,0
"ca-500",2016,0,0,0,0,0,0,623,1226,358,10,2822,5039,0,1,1,0,0,0,1,0
"ca-500",2017,0,0,0,0,0,0,654,998,532,0,4275,6459,0,1,1,0,0,0,1,0
"ca-500",2018,0,0,0,0,0,0,746,814,834,20,4220,6634,0,1,1,0,0,0,1,0
"ca-500",2019,0,0,0,0,0,0,900,844,1284,20,3276,6324,0,1,1,0,0,0,1,0
